안녕.안녕히 가세요	안.녕.안.녕.히.가.세.요
이거 뭐지.이게 케익인가	이.거.뭐.지.이.게.케.익.인.가
케익인가	케.익.인.가
어.주세요.여기 선물이에요 내가 선물 갖고 왔	어.주.세.요.여.기.선.물.이.에.요.내.가.선.물.갖.고.왔
어떤 거 할까	어.떤.거.할.까
또	또
내가 이거 갖다 준 거다	내.가.이.거.갖.다.준.거.다
으쌰	으.쌰
그거 뭐야	그.거.뭐.야
으응	으.응
응.그거 갖다 놓는 거야	응.그.거.갖.다.놓.는.거.야
이거.이름야 여기 컵도 있나 봐	이.거.이.름.야.여.기.컵.도.있.나.봐
야	야
응	응
응.싫어	응.싫.어
어.이름 어 거기다 올려 놓는 거 어떻게 알았어	어.이.름.어.거.기.다.올.려.놓.는.거.어.떻.게.알.았.어
우와	우.와
이름 뭐 하고 있어요	이.름.뭐.하.고.있.어.요
이름 엄마 생일 축하 해 줄 거예요	이.름.엄.마.생.일.축.하.해.줄.거.예.요
우와 예쁜 거 케익 많이 만들어 놨다	우.와.예.쁜.거.케.익.많.이.만.들.어.놨.다
나 하나만 줘	나.하.나.만.줘
아 엄마 케익 하나만 주세요	아.엄.마.케.익.하.나.만.주.세.요
고맙습니다	고.맙.습.니.다
나 초코 케익도 줄래.거기	나.초.코.케.익.도.줄.래.거.기
초코 케익 먹고 싶은데 엄마는	초.코.케.익.먹.고.싶.은.데.엄.마.는
그래	그.래
한 조각 있네.하 나 초코 케익 주면 안 돼.이거 바꾸자	한.조.각.있.네.하.나.초.코.케.익.주.면.안.돼.이.거.바.꾸.자
고마워	고.마.워
어.아.맛있겠다.이거 오빠가 좋아하는 케익인가	어.아.맛.있.겠.다.이.거.오.빠.가.좋.아.하.는.케.익.인.가
우와.초코 케익이고	우.와.초.코.케.익.이.고
어.케익이 어.들어가서 안 나오네	어.케.익.이.어.들.어.가.서.안.나.오.네
케익 빼 볼게 엄마가	케.익.빼.볼.게.엄.마.가
엄마가 잘못 넣었나 봐	엄.마.가.잘.못.넣.었.나.봐
그거 말고 요거 넣어 볼까	그.거.말.고.요.거.넣.어.볼.까
그 이거는 안 나오니까 이거 넣으면 나올 거 같애.이거 봐라.어	그.이.거.는.안.나.오.니.까.이.거.넣.으.면.나.올.거.같.애.이.거.봐.라.어
해 봐	해.봐
이름도 해 봐 엄마처럼	이.름.도.해.봐.엄.마.처.럼
넣어 봐	넣.어.봐
우와 또	우.와.또
두 개	두.개
두 개	두.개
어.파란색	어.파.란.색
어	어
어 이게 너무 큰가 보다 얘가.커서 안 들어가	어.이.게.너.무.큰.가.보.다.얘.가.커.서.안.들.어.가
음.이거 해 볼까	음.이.거.해.볼.까
빼야겠다	빼.야.겠.다
어	어
걸렸다	걸.렸.다
나왔다	나.왔.다
나왔다	나.왔.다
응	응
응	응
응	응
응	응
으쌰	으.쌰
응	응
이름 재밌어	이.름.재.밌.어
재밌어	재.밌.어
이거	이.거
응	응
응	응
뭐가 왔을까.보자 한번	뭐.가.왔.을.까.보.자.한.번
응	응
응	응
잠깐만	잠.깐.만
그거 하는 거야	그.거.하.는.거.야
어.전화가 자꾸 오네	어.전.화.가.자.꾸.오.네
어.전화 끊겼네	어.전.화.끊.겼.네
잠깐만 이름야.엄마 전	잠.깐.만.이.름.야.엄.마.전
재밌어 이름	재.밌.어.이.름
이름 재밌어	이.름.재.밌.어
어	어
어	어
그거 빼면 안 되는데	그.거.빼.면.안.되.는.데
어우 빼면 안 되는데	어.우.빼.면.안.되.는.데
이름야	이.름.야
저기 또 뭐가 이름야 이거 이거 뭐냐	저.기.또.뭐.가.이.름.야.이.거.이.거.뭐.냐
이거 뭐지	이.거.뭐.지
이름야 이거 뭐야	이.름.야.이.거.뭐.야
이거 뭐지	이.거.뭐.지
이건 뭘까	이.건.뭘.까
으	으
이건 뭘까	이.건.뭘.까
재밌어	재.밌.어
어.이름야.여기 책도 있다	어.이.름.야.여.기.책.도.있.다
응.책	응.책
응	응
얼굴	얼.굴
얼굴 있네	얼.굴.있.네
이름야 이거 누구야	이.름.야.이.거.누.구.야
이거 싫어	이.거.싫.어
어	어
이름 이거 싫어	이.름.이.거.싫.어
어	어
엄마랑 또 생일 축하 해	엄.마.랑.또.생.일.축.하.해
이름는 생일 축하가 좋구나	이.름.는.생.일.축.하.가.좋.구.나
저거 볼까	저.거.볼.까
어	어
어.그거 뭐지	어.그.거.뭐.지
이거 카튼가 봐	이.거.카.튼.가.봐
이렇게 미는 건가 봐	이.렇.게.미.는.건.가.봐
밀어 봐	밀.어.봐
와 시장 왔어요.엄마도 이거 해 볼까	와.시.장.왔.어.요.엄.마.도.이.거.해.볼.까
엄마도 이거 밀까	엄.마.도.이.거.밀.까
이 이게 더 좋아	이.이.게.더.좋.아
이름야 이거 봐라	이.름.야.이.거.봐.라
요기는 어딜까.이름야 이거 봐	요.기.는.어.딜.까.이.름.야.이.거.봐
와 이거는 오빠 방인가	와.이.거.는.오.빠.방.인.가
이것도 있고 오빠 방인가 보다	이.것.도.있.고.오.빠.방.인.가.보.다
우와	우.와
한샘 가구구나	한.샘.가.구.구.나
이름야	이.름.야
우와 한샘 가구	우.와.한.샘.가.구
이쁘네.가구가	이.쁘.네.가.구.가
이렇게 돼 있고	이.렇.게.돼.있.고
우와	우.와
선반도 여기 있고	선.반.도.여.기.있.고
오빠 이런 거 하나 사 줘야겠네	오.빠.이.런.거.하.나.사.줘.야.겠.네
아이고.시장 놀이 할 거야	아.이.고.시.장.놀.이.할.거.야
어머나	어.머.나
우와	우.와
응	응
시장 왔어요	시.장.왔.어.요
딸기 어딨어요	딸.기.어.딨.어.요
이게 딸기예요	이.게.딸.기.예.요
김밥 같은데	김.밥.같.은.데
김밥	김.밥
김밥	김.밥
어 김밥도 넣구.얜 누구야.얘 데려갈까	어.김.밥.도.넣.구.얜.누.구.야.얘.데.려.갈.까
어	어
얘 안 데려갈 거야	얘.안.데.려.갈.거.야
걔 싫어	걔.싫.어
마트 가는 거야	마.트.가.는.거.야
여기 이름야 엄마랑 있는 거야	여.기.이.름.야.엄.마.랑.있.는.거.야
마트	마.트
우와	우.와
김이름	김.이.름
또 뭐 있어	또.뭐.있.어
이거 엄마가 밀어도 돼.그러면	이.거.엄.마.가.밀.어.도.돼.그.러.면
이름야 이거 봐라	이.름.야.이.거.봐.라
이거 뭐지	이.거.뭐.지
이거 뭐지	이.거.뭐.지
타 봐	타.봐
해 봐.그럼 이름가	해.봐.그.럼.이.름.가
이름가 해 봐	이.름.가.해.봐
으쌰	으.쌰
음.매트리스만 이렇게 있어도 깔끔하구나	음.매.트.리.스.만.이.렇.게.있.어.도.깔.끔.하.구.나
우와	우.와
어.생일 얘가 생일 축하한대.어	어.생.일.얘.가.생.일.축.하.한.대.어
얘가 생일 고깔모자 쓰고 왔나 봐	얘.가.생.일.고.깔.모.자.쓰.고.왔.나.봐
엄마 갖고 있어	엄.마.갖.고.있.어
야 이거 봐	야.이.거.봐
이건 뭐지	이.건.뭐.지
이건 뭘까	이.건.뭘.까
이름야	이.름.야
이름야	이.름.야
아가씨.이거 봐 봐	아.가.씨.이.거.봐.봐
거기 또 들어가는 거야	거.기.또.들.어.가.는.거.야
그거는 너무 커서 안 들어간다	그.거.는.너.무.커.서.안.들.어.간.다
이거 봐 봐	이.거.봐.봐
세모.그건 안 들어가.걔는	세.모.그.건.안.들.어.가.걔.는
어.그렇게 넣으면 되네.아 이거 뚜껑에 넣을 거야 엄마는 이렇게 해서	어.그.렇.게.넣.으.면.되.네.아.이.거.뚜.껑.에.넣.을.거.야.엄.마.는.이.렇.게.해.서
걔는.요거 어디 들어갈 거 같애	걔.는.요.거.어.디.들.어.갈.거.같.애
이름가 생각 잘 찾아 봐.어디에 들어가야 들어가지.걔는	이.름.가.생.각.잘.찾.아.봐.어.디.에.들.어.가.야.들.어.가.지.걔.는
해 봐	해.봐
해 봐	해.봐
거긴 아니.어 안 들어가네 거기는	거.긴.아.니.어.안.들.어.가.네.거.기.는
그것두 거기야	그.것.두.거.기.야
거길까	거.길.까
와	와
어어.어디지	어.어.어.디.지
또 해 봐.이름가 잘 생각해 봐	또.해.봐.이.름.가.잘.생.각.해.봐
이거 봐.엄마 해 보자	이.거.봐.엄.마.해.보.자
네모만 맞출 거야	네.모.만.맞.출.거.야
어디일까	어.디.일.까
어.맞았어.또 이거 해 봐.어디지	어.맞.았.어.또.이.거.해.봐.어.디.지
0	0
노란색도 집에 가고 싶대	노.란.색.도.집.에.가.고.싶.대
노란색.어 거긴 아니구	노.란.색.어.거.긴.아.니.구
해 봐	해.봐
우아 잘했어.그 다음 또 해 또 또 또 해 볼까.이름가.다시 또	우.아.잘.했.어.그.다.음.또.해.또.또.또.해.볼.까.이.름.가.다.시.또
집 찾아 준다.얘네는 안 들어가는 거 	집.찾.아.준.다.얘.네.는.안.들.어.가.는.거..
어 얘는.음.주황색	어.얘.는.음.주.황.색
벽돌인가.벽돌은 어디 들어가야 되지	벽.돌.인.가.벽.돌.은.어.디.들.어.가.야.되.지
이름 또 해 봐	이.름.또.해.봐
걔가 어디 들어가지	걔.가.어.디.들.어.가.지
거기 들어가고	거.기.들.어.가.고
어	어
거기가 또.파란색 해 봐	거.기.가.또.파.란.색.해.봐
어디 들어갈까.파란색은	어.디.들.어.갈.까.파.란.색.은
와아 화이팅	와.아.화.이.팅
우와 잘하는구나	우.와.잘.하.는.구.나
어 어디에 들어갈까	어.어.디.에.들.어.갈.까
오	오
오	오
이건 어디에 들어가는 거지	이.건.어.디.에.들.어.가.는.거.지
오오.해 봐	오.오.해.봐
어디에 들어가는 거지	어.디.에.들.어.가.는.거.지
이거 어디에 들어가	이.거.어.디.에.들.어.가
아 난 이거 맞추고 싶은데.아	아.난.이.거.맞.추.고.싶.은.데.아
이거는 여기 껴 볼까 엄마랑 같이	이.거.는.여.기.껴.볼.까.엄.마.랑.같.이
이거 봐	이.거.봐
이름야.안경	이.름.야.안.경
안경	안.경
어.안경 어떡해	어.안.경.어.떡.해
아.해 봐	아.해.봐
구멍 보여	구.멍.보.여
이거 봐	이.거.봐
어어	어.어
안녕	안.녕
이름 보이나	이.름.보.이.나
어.이름 어디 보이지	어.이.름.어.디.보.이.지
또 어디가 있을까	또.어.디.가.있.을.까
이름가 보이나.어.이름 어딨지	이.름.가.보.이.나.어.이.름.어.딨.지
김이름 어딨지	김.이.름.어.딨.지
어.망원경으로 늘려서 봐야겠다	어.망.원.경.으.로.늘.려.서.봐.야.겠.다
이름 저깄나	이.름.저.깄.나
이름 여깄다	이.름.여.깄.다
어.이거 봐라	어.이.거.봐.라
이름야 이거 봐	이.름.야.이.거.봐
엄마 들어와	엄.마.들.어.와
엄마는 들어갈 수가 없어	엄.마.는.들.어.갈.수.가.없.어
거기 집은 너무 작어	거.기.집.은.너.무.작.어
엄마 들어갈까	엄.마.들.어.갈.까
어 알았어	어.알.았.어
엄마 들어갈까	엄.마.들.어.갈.까
이름가 초대해 주는 거야	이.름.가.초.대.해.주.는.거.야
그래	그.래
엄마 들어갈까	엄.마.들.어.갈.까
그래.들어가 보 들어갈게	그.래.들.어.가.보.들.어.갈.게
엄마.엄마 거기 들어갈 수 있을까.이름야	엄.마.엄.마.거.기.들.어.갈.수.있.을.까.이.름.야
들어갈 수 있을 거 같애	들.어.갈.수.있.을.거.같.애
고마워	고.마.워
엄마 들어가 보자	엄.마.들.어.가.보.자
으쌰	으.쌰
이름네 집 초대해 주는 거야.엄마 어디에 앉아	이.름.네.집.초.대.해.주.는.거.야.엄.마.어.디.에.앉.아
거기 들어갈 수 있을 거 같애	거.기.들.어.갈.수.있.을.거.같.애
어 여기 들어 어 너무 좁아.이름야	어.여.기.들.어.어.너.무.좁.아.이.름.야
어.좁아서 들어갈 수가 없네 엄마는	어.좁.아.서.들.어.갈.수.가.없.네.엄.마.는
엄마처럼 써 볼까 똑같이	엄.마.처.럼.써.볼.까.똑.같.이
엄마처럼 써 보자	엄.마.처.럼.써.보.자
엄마 들어와	엄.마.들.어.와
응	응
들어가.그래	들.어.가.그.래
들어왔다	들.어.왔.다
어우.고마워	어.우.고.마.워
문 닫을게.한 번만	문.닫.을.게.한.번.만
엄마 힘들어	엄.마.힘.들.어
으쌰	으.쌰
응 그래두	응.그.래.두
케익 놔 주고	케.익.놔.주.고
어.서 이거 뭐야	어.서.이.거.뭐.야
생일 축하 할까 우리	생.일.축.하.할.까.우.리
어	어
또 해	또.해
엄마 생일 축하해 줄 거야.그럼	엄.마.생.일.축.하.해.줄.거.야.그.럼
그래.이름 생일 말고 이제 엄마 생일 축하해 줘	그.래.이.름.생.일.말.고.이.제.엄.마.생.일.축.하.해.줘
하나	하.나
둘	둘
셋	셋
어.시작	어.시.작
내가 불 거야	내.가.불.거.야
너도 불 거야	너.도.불.거.야
알았어 고마워	알.았.어.고.마.워
이거 뭐지	이.거.뭐.지
이거 뭐야	이.거.뭐.야
이름네 집	이.름.네.집
우와	우.와
어.이거 움직이네	어.이.거.움.직.이.네
이름야 엄마 나가도 돼	이.름.야.엄.마.나.가.도.돼
안 돼.여기 있어.엄마	안.돼.여.기.있.어.엄.마
어.여기 있어	어.여.기.있.어
이름 놀아.엄마 저기 가 있을게	이.름.놀.아.엄.마.저.기.가.있.을.게
엄마랑 같이 놀아	엄.마.랑.같.이.놀.아
이름가 너무 좁잖아 엄마가 여기 있으면	이.름.가.너.무.좁.잖.아.엄.마.가.여.기.있.으.면
싫어	싫.어
응.알았어	응.알.았.어
거기 있으면	거.기.있.으.면
싫어	싫.어
와 이름는.이게 와.케익 받침대 어떻게 찾았어 이거를	와.이.름.는.이.게.와.케.익.받.침.대.어.떻.게.찾.았.어.이.거.를
시작	시.작
누구 생일 축하해 줄까 이번엔	누.구.생.일.축.하.해.줄.까.이.번.엔
생일 누구 생일이야	생.일.누.구.생.일.이.야
아.누구 생일	아.누.구.생.일
이름 생일 할까 이름 생일	이.름.생.일.할.까.이.름.생.일
아 그래.알았어.시작	아.그.래.알.았.어.시.작
어	어
너도 해요	너.도.해.요
이름도 할 거예요	이.름.도.할.거.예.요
어	어
엄마 어떤 거 줄 거야 그럼	엄.마.어.떤.거.줄.거.야.그.럼
엄마 하나만 줘 봐	엄.마.하.나.만.줘.봐
엄마 어떤 거 줄 거야	엄.마.어.떤.거.줄.거.야
어.이거 줄 거야.이거 줄 거야	어.이.거.줄.거.야.이.거.줄.거.야
어	어
어우 나는 요 케익 먹고 싶어.초코 케익.엄마는	어.우.나.는.요.케.익.먹.고.싶.어.초.코.케.익.엄.마.는
엄마 이거 먹어	엄.마.이.거.먹.어
고마워.그래도 이름가 주니까 잘 맛있게 먹을게	고.마.워.그.래.도.이.름.가.주.니.까.잘.맛.있.게.먹.을.게
커피 좀 타 주세요	커.피.좀.타.주.세.요
엄마 여기 있어요	엄.마.여.기.있.어.요
어.알았어요.그럼 커피 좀 타 줘	어.알.았.어.요.그.럼.커.피.좀.타.줘
응.커피 타 갖고 오세요	응.커.피.타.갖.고.오.세.요
커피 어딨어	커.피.어.딨.어
커피 없	커.피.없
거기다 커피 좀 줘 봐 그러면	거.기.다.커.피.좀.줘.봐.그.러.면
없어	없.어
커피를 여기다 넣을까	커.피.를.여.기.다.넣.을.까
이거 넣고 여기다	이.거.넣.고.여.기.다
응	응
누구세요	누.구.세.요
누구세요	누.구.세.요
이거는 엄마 집이에요	이.거.는.엄.마.집.이.에.요
어.들어와	어.들.어.와
어 반가워.여기 열고 열어 줄게	어.반.가.워.여.기.열.고.열.어.줄.게
우리 집에 와 우리 집이 좀 좁 넓어	우.리.집.에.와.우.리.집.이.좀.좁.넓.어
으쌰	으.쌰
들어와.우리 집이 좀 넓어서 탈이야	들.어.와.우.리.집.이.좀.넓.어.서.탈.이.야
어.어	어.어
이렇게 해 봐	이.렇.게.해.봐
이렇게 해 봐	이.렇.게.해.봐
냄새 나는 거 같은데	냄.새.나.는.거.같.은.데
기저귀 갈아야 되나 보자 한번	기.저.귀.갈.아.야.되.나.보.자.한.번
아 기저귀 갈아야 되잖아.기저귀 갈고 놀자 우리	아.기.저.귀.갈.아.야.되.잖.아.기.저.귀.갈.고.놀.자.우.리
이렇게 해 봐	이.렇.게.해.봐
엄마 나갈게	엄.마.나.갈.게
어우 으쌰	어.우.으.쌰
으쌰.아구 힘들어.우리 딸 땜에 아주	으.쌰.아.구.힘.들.어.우.리.딸.땜.에.아.주
으쌰	으.쌰
이름 이거 아까.이리 와 봐	이.름.이.거.아.까.이.리.와.봐
기저귀 갈고 놀아야지.어 기저귀 갈고서.이름 제 저기 위에 올라가 갈까	기.저.귀.갈.고.놀.아.야.지.어.기.저.귀.갈.고.서.이.름.제.저.기.위.에.올.라.가.갈.까
어	어
이름야	이.름.야
이름 응아 하면 엄마 뭐라고 했어	이.름.응.아.하.면.엄.마.뭐.라.고.했.어
응아 쌌어요라고 말 해야 하는데 말 안 해 왜.응	응.아.쌌.어.요.라.고.말.해.야.하.는.데.말.안.해.왜.응
이름 응아 쌌어요라고 이야기 해야 되는 거지.어	이.름.응.아.쌌.어.요.라.고.이.야.기.해.야.되.는.거.지.어
이름야	이.름.야
기저귀 갈아 줄게	기.저.귀.갈.아.줄.게
으쌰	으.쌰
으쌰	으.쌰
어우	어.우
엄마한테 말을 했어야지 기저귀 갈아 달라고	엄.마.한.테.말.을.했.어.야.지.기.저.귀.갈.아.달.라.고
어우 냄새	어.우.냄.새
이렇게 해 봐	이.렇.게.해.봐
이렇게 해 봐	이.렇.게.해.봐
어 알았어 들어갈게	어.알.았.어.들.어.갈.게
또 들어가 저기에	또.들.어.가.저.기.에
엄마한텐 집이 너무 저거는 애기 집이래서 너무 작은데	엄.마.한.텐.집.이.너.무.저.거.는.애.기.집.이.래.서.너.무.작.은.데
알았어 들어와 엄마도	알.았.어.들.어.와.엄.마.도
알았어	알.았.어
이름야.엄마가 이름 응아 하면 뭐라고 얘기했어	이.름.야.엄.마.가.이.름.응.아.하.면.뭐.라.고.얘.기.했.어
어	어
엄마 응아 쌌어요라고 이제 이야기해야 돼.이름 이제 언니 됐으니까 올해	엄.마.응.아.쌌.어.요.라.고.이.제.이.야.기.해.야.돼.이.름.이.제.언.니.됐.으.니.까.올.해
어	어
어	어
여기가 조금 덥구나	여.기.가.조.금.덥.구.나
이거 해 줘	이.거.해.줘
으쌰	으.쌰
어.기저귀 이거 하고서 해야지	어.기.저.귀.이.거.하.고.서.해.야.지
뭐 그것도 붙여 줘.테이프	뭐.그.것.도.붙.여.줘.테.이.프
이거 먼저 해 줄까	이.거.먼.저.해.줄.까
어우 많이 아팠겠다.이름 손 다쳐서	어.우.많.이.아.팠.겠.다.이.름.손.다.쳐.서
