또 녹음하는 거	또|녹.음.하.는|거
보리 이 껍질을 벗기면 이렇게 쌀이 되고 엿기름도 나오	보.리|이|껍.질.을|벗.기.면|이.렇.게|쌀.이|되.고|엿.기.름.도|나.오
볶은 보리 보리 튀밥 돼 어 보리 짚단으로 인형도 만들고 여치집도 만들었	볶.은|보.리|보.리|튀.밥|돼|어|보.리|짚.단.으.로|인.형.도|만.들.고|여.치.집.도|만.들.었
여기다 여치를 넣으면 여치가 도망을 못가겠	여.기.다|여.치.를|넣.으.면|여.치.가|도.망.을|못.가.겠
오오 빵빵하지 공벌레 지렁이 두더지 오	오.오|빵.빵.하.지|공.벌.레|지.렁.이|두.더.지|오
보리씨를 뿌렸어 땅에다가 그러면은 이렇게 뿌리도 나오고 새싹이 나	보.리.씨.를|뿌.렸.어|땅.에.다.가|그.러.면.은|이.렇.게|뿌.리.도|나.오.고|새.싹.이|나
새 잎이 자라고 포기가 늘어났어 보리가 점점 자라는 거	새|잎.이|자.라.고|포.기.가|늘.어.났.어|보.리.가|점.점|자.라.는|거
보리는 어린 싹으로 겨울을 나 서리가 하얗게 내려도 안 죽는	보.리.는|어.린|싹.으.로|겨.울.을|나|서.리.가|하.얗.게|내.려.도|안|죽.는
찬바람이 불어도 오그라들어도 뿌리는 살아남는	찬.바.람.이|불.어.도|오.그.라.들.어.도|뿌.리.는|살.아.남.는
저희들끼리 꼭 붙어서 추위를 이겨	저.희.들.끼.리|꼭|붙.어.서|추.위.를|이.겨
이렇게 눈이 하얗게 오면 보리가 잘 자라 이불삼아 덥고 있으니 덜 춥	이.렇.게|눈.이|하.얗.게|오.면|보.리.가|잘|자.라|이.불.삼.아|덥.고|있.으.니|덜|춥
그래도 얼지 말라고 이렇게 발로 꽁꽁꽁 보리 밟기를 해 	그.래.도|얼.지|말.라.고|이.렇.게|발.로|꽁.꽁.꽁|보.리|밟.기.를|해.|
그래 꼭꼭 밟아서 흙을 다져주는 거야 얼지 말라	그.래|꼭.꼭|밟.아.서|흙.을|다.져.주.는|거.야|얼.지|말.라
우와 보리가 많이 자랐네 들판에 꽃들이 많이 피고 잎사귀도 많이 자랐	우.와|보.리.가|많.이|자.랐.네|들.판.에|꽃.들.이|많.이|피.고|잎.사.귀.도|많.이|자.랐
이거 봐 개부랄풀이래 이름 되게 웃기	이.거|봐|개.부.랄.풀.이.래|이.름|되.게|웃.기
광대나물 씀바귀 벗꽃나 아 별꽃나	광.대.나.물|씀.바.귀|벗.꽃.나|아|별.꽃.나
꽃다지 어린보리 이거는 민들레야 세윤이 민들레 많이 봤	꽃.다.지|어.린.보.리|이.거.는|민.들.레.야|세.윤.이|민.들.레|많.이|봤
아직 꽃이 피지 않았네 민들레 접나도나물 냉	아.직|꽃.이|피.지|않.았.네|민.들.레|접.나.도.나.물|냉
봄에 냉이에다가 된장찌게 끓어 먹어봤지 세윤	봄.에|냉.이.에.다.가|된.장.찌.게|끓.어|먹.어.봤.지|세.윤
봄에	봄.에
그래 꿩 어 소 어디있어 	그.래|꿩|어|소|어.디.있.어.|
이거 누구야 애는 누구	이.거|누.구.야|애.는|누.구
무당벌	무.당.벌
노린재 달팽	노.린.재|달.팽
각다	각.다
방아벌레 파니메 왕거	방.아.벌.레|파.니.메|왕.거
옛날에는 보릿고개라고 있었	옛.날.에.는|보.릿.고.개.라.고|있.었
겨울을 나고 봄이 되면 쌀이며 곡식이 떨어지거	겨.울.을|나.고|봄.이|되.면|쌀.이.며|곡.식.이|떨.어.지.거
햇보리가 날 때까지는 먹을 양식이 없어 칡 뿌리도 케 먹	햇.보.리.가|날|때.까.지.는|먹.을|양.식.이|없.어|칡|뿌.리.도|케|먹
소나무 껍질도 벗겨먹고 풀 뜯어다가 나물죽 쑤어 먹으면서 살았	소.나.무|껍.질.도|벗.겨.먹.고|풀|뜯.어.다.가|나.물.죽|쑤.어|먹.으.면.서|살.았
하루하루 보리 익기만 기다렸	하.루.하.루|보.리|익.기.만|기.다.렸
이거 봐 보리가 다 자라면 구워 먹어도 된데 불어다	이.거|봐|보.리.가|다|자.라.면|구.워|먹.어.도|된.데|불.어.다
보리를 뽑아서 구워 구운 보리를 손바닥으로 비비면 구운 보리쌀이 나	보.리.를|뽑.아.서|구.워|구.운|보.리.를|손.바.닥.으.로|비.비.면|구.운|보.리.쌀.이|나
입으로 후 후 불면 껍질이 날라가지 쩝쩝쩝쩝 얌냠냠 먹는 거야 이렇	입.으.로|후|후|불.면|껍.질.이|날.라.가.지|쩝.쩝.쩝.쩝|얌.냠.냠|먹.는|거.야|이.렇
입이 까매졌	입.이|까.매.졌
오 이거 뭐	오|이.거|뭐
세윤이 좋아하는 거잖	세.윤.이|좋.아.하.는|거.잖
그래 이거 봐 뭐야 게상에털	그.래|이.거|봐|뭐.야|게.상.에.털
이거는 홀토에털	이.거.는|홀.토.에.털
탈곡기래 탈곡기 이거 곡식의 낟알을 터는 도구인가 	탈.곡.기.래|탈.곡.기|이.거|곡.식.의|낟.알.을|터.는|도.구.인.가.|
도리깨로 털기 도리깨로 떵떵떵 털	도.리.깨.로|털.기|도.리.깨.로|떵.떵.떵|털
요즘은 세상이 좋아져서 방앗간에 갖다 주면 되지	요.즘.은|세.상.이|좋.아.져.서|방.앗.간.에|갖.다|주.면|되.지
옛날에는 모두 이렇게 다 손으로 했	옛.날.에.는|모.두|이.렇.게|다|손.으.로|했
등목한다 등목 옛날에는 목욕탕이 없어서 빨게 벗고 목욕을 못하니	등.목.한.다|등.목|옛.날.에.는|목.욕.탕.이|없.어.서|빨.게|벗.고|목.욕.을|못.하.니
이렇게 등에 물을 뿌려주는 거야 아우 시원하	이.렇.게|등.에|물.을|뿌.려.주.는|거.야|아.우|시.원.하
엄마는 불 때서 감자고 삶고 옥수수도 삶	엄.마.는|불|때.서|감.자.고|삶.고|옥.수.수.도|삶
모두들 둘러 앉아 보리밥도 먹고 	모.두.들|둘.러|앉.아|보.리.밥.도|먹.고.|
이번에는 발타자의 산책 읽어볼	이.번.에.는|발.타.자.의|산.책|읽.어.볼
발타자의 산책 발타자가 누구	발.타.자.의|산.책|발.타.자.가|누.구
어 지금 우리집도 비가 오는데 여기도 비가 와 발타자가 우산을 쓰고 가	어|지.금|우.리.집.도|비.가|오.는.데|여.기.도|비.가|와|발.타.자.가|우.산.을|쓰.고|가
과자도 있잖	과.자.도|있.잖
어 이거 봐 발타자와 빼뱅은 창 밖을 내다보고 있었어	어|이.거|봐|발.타.자.와|빼.뱅.은|창|밖.을|내.다.보.고|있.었.어
빗방울들이 유리창을 따라 흘러내렸다	빗.방.울.들.이|유.리.창.을|따.라|흘.러.내.렸.다
어 	어.|
물 웅덩이에서 다시 튀어 올랐지	물|웅.덩.이.에.서|다.시|튀.어|올.랐.지
두 친구는 재빨리 장화를 신고 토끼를 찾아 병원으로 뛰어 갔어	두|친.구.는|재.빨.리|장.화.를|신.고|토.끼.를|찾.아|병.원.으.로|뛰.어|갔.어
어 이 눈 뭐	어|이|눈|뭐
아 두 개의 파란 눈 개구리 눈이 몇 개	아|두|개.의|파.란|눈|개.구.리|눈.이|몇|개
두 개 마주쳤지	두|개|마.주.쳤.지
어 빨래가 다 됐나보	어|빨.래.가|다|됐.나.보
발타자와 빼뱅은 물 웅덩이 위를 신나게 달렸	발.타.자.와|빼.뱅.은|물|웅.덩.이|위.를|신.나.게|달.렸
첨벙첨벙첨벙첨벙 정말 신이 났지	첨.벙.첨.벙.첨.벙.첨.벙|정.말|신.이|났.지
어 이거 누구	어|이.거|누.구
사 누가 사는 집 이거 뭐지 여기는 어디	사|누.가|사.는|집|이.거|뭐.지|여.기.는|어.디
꼬꼬 닭 네 마	꼬.꼬|닭|네|마
세어 봐 닭이 몇 마리	세.어|봐|닭.이|몇|마.리
어우 정확하게 셌	어.우|정.확.하.게|셌
모두 맞았어요 바깥에는 다섯마리의 멋진 달팽이	모.두|맞.았.어.요|바.깥.에.는|다.섯.마.리.의|멋.진|달.팽.이
빗속을 산책하며 즐거움에 흠뻑 젖어있었어 자 달팽이를 세어 볼까	빗.속.을|산.책.하.며|즐.거.움.에|흠.뻑|젖.어.있.었.어|자|달.팽.이.를|세.어|볼.까
에	에
다시 하나 여기 눈을 보고 둘 셋 넷 다	다.시|하.나|여.기|눈.을|보.고|둘|셋|넷|다
오래된 밤나무 아래에는 빼뱅이 좋아하는 비밀 장소가 있어	오.래.된|밤.나.무|아.래.에.는|빼.뱅.이|좋.아.하.는|비.밀|장.소.가|있.어
빼뱅은 토끼가 여	빼.뱅.은|토.끼.가|여
이거 뭐	이.거|뭐
박쥐는 몇 마리	박.쥐.는|몇|마.리
아닌데 다시 세어 	아.닌.데|다.시|세.어.|
그래 여섯 다시 하나 둘 셋 여기 봐야	그.래|여.섯|다.시|하.나|둘|셋|여.기|봐.야
하나 둘 셋 넷 다섯 여	하.나|둘|셋|넷|다.섯|여
정확히 세야	정.확.히|세.야
이리와 봐 빼뱅 발타지가 불렀어요 창고에서 이상한 소리가 들	이.리.와|봐|빼.뱅|발.타.지.가|불.렀.어.요|창.고.에.서|이.상.한|소.리.가|들
토끼가 여기 다녀간게 틀림없어	토.끼.가|여.기|다.녀.간.게|틀.림.없.어
못을 놓아 모아놓은 작은 못 유리병이 엉망으로 흩어져 있었지	못.을|놓.아|모.아.놓.은|작.은|못|유.리.병.이|엉.망.으.로|흩.어.져|있.었.지
안경도 떨어져 있어구	안.경.도|떨.어.져|있.어.구
팔 어 나사돌리기가 몇 개인지 세어볼	팔|어|나.사.돌.리.기.가|몇|개.인.지|세.어.볼
하나 둘 셋 넷 다섯 여섯 일곱 여덟 개가 있	하.나|둘|셋|넷|다.섯|여.섯|일.곱|여.덟|개.가|있
두 친구는 갈색 토끼를 찾아 다니다가 다시 길을 떠났어	두|친.구.는|갈.색|토.끼.를|찾.아|다.니.다.가|다.시|길.을|떠.났.어
우리 오리에게 가 보자 발타지가 말했어	우.리|오.리.에.게|가|보.자|발.타.지.가|말.했.어
발타지와 빼뱅은 오리에게 혹시 토끼를 보았는지 물었지	발.타.지.와|빼.뱅.은|오.리.에.게|혹.시|토.끼.를|보.았.는.지|물.었.지
저 쪽으로 뛰어 가는 걸 봤	저|쪽.으.로|뛰.어|가.는|걸|봤
어 알이 모두 몇 개	어|알.이|모.두|몇|개
하나 둘 셋 넷 다섯 여섯 일곱 여덟 아홉 개	하.나|둘|셋|넷|다.섯|여.섯|일.곱|여.덟|아.홉|개
그중에 한 개의 알에	그.중.에|한|개.의|알.에
이거 봐 오리 아기가 나오려던 참이었어	이.거|봐|오.리|아.기.가|나.오.려.던|참.이.었.어
빼뱅은 그 장면을 지켜보고 싶어 했지요 어쩌면 토끼의 알일지도 모르니까	빼.뱅.은|그|장.면.을|지.켜.보.고|싶.어|했.지.요|어.쩌.면|토.끼.의|알.일.지.도|모.르.니.까
하지만 발타지는 서둘러 가던 길을 계속 가기를 원했지	하.지.만|발.타.지.는|서.둘.러|가.던|길.을|계.속|가.기.를|원.했.지
토끼는 알을 낳지 않는다는 것을 발타자는 벌써 알고 있었거든	토.끼.는|알.을|낳.지|않.는.다.는|것.을|발.타.자.는|벌.써|알.고|있.었.거.든
어 오리새끼	어|오.리.새.끼
나 배고파 빼뱅이 말했어	나|배.고.파|빼.뱅.이|말.했.어
마치 호주머니 숲 속 깊은 곳에 보물을 숨겨놓은 것처	마.치|호.주.머.니|숲|속|깊.은|곳.에|보.물.을|숨.겨.놓.은|것.처
발타자는 조심스럽게 손을 주머니에 넣었	발.타.자.는|조.심.스.럽.게|손.을|주.머.니.에|넣.었
발타자가 호주머니에서 찾아 낸 것은 열 개의 과	발.타.자.가|호.주.머.니.에.서|찾.아|낸|것.은|열|개.의|과
조금 부서졌지만 그래도 맛있는 과자들이에	조.금|부.서.졌.지.만|그.래.도|맛.있.는|과.자.들.이.에
두 친구는 과자를 나눠 먹기 위해 사이좋게 앉았어	두|친.구.는|과.자.를|나.눠|먹.기|위.해|사.이.좋.게|앉.았.어
그리고 바로 그 순간 누가 다가왔는지 찾았나요 누가 다가왔어	그.리.고|바.로|그|순.간|누.가|다.가.왔.는.지|찾.았.나.요|누.가|다.가.왔.어
어우 그날 발타자와 빼뱅은 과연 몇 마리의 토끼를 잡았을까	어.우|그.날|발.타.자.와|빼.뱅.은|과.연|몇|마.리.의|토.끼.를|잡.았.을.까
영 한마리의 못 잡았어요 토끼가 워낙 빨랐으니까	영|한.마.리.의|못|잡.았.어.요|토.끼.가|워.낙|빨.랐.으.니.까
그날 밤 꿈 속에서 발타자와 빼뱅은 백 마리의 토끼를 잡았답니	그.날|밤|꿈|속.에.서|발.타.자.와|빼.뱅.은|백|마.리.의|토.끼.를|잡.았.답.니
눈처럼 새하얀 토끼 백 마	눈.처.럼|새.하.얀|토.끼|백|마
토끼가 	토.끼.가.|
진짜 많	진.짜|많
윙 일 이 삼 동물원으	윙|일|이|삼|동.물.원.으
일 이 삼 동물원으	일|이|삼|동.물.원.으
칙칙폭폭 어 코끼리가 몇 마리 있지	칙.칙.폭.폭|어|코.끼.리.가|몇|마.리|있.지
응 하마	응|하.마
하마는 몇 마	하.마.는|몇|마
두 마	두|마
기린은 세 마	기.린.은|세|마
사자는 네 마	사.자.는|네|마
곰은 다섯 마	곰.은|다.섯|마
악어는 여섯 마	악.어.는|여.섯|마
물개는 일곱 마	물.개.는|일.곱|마
원숭이는 여덟마	원.숭.이.는|여.덟.마
뱀은 아홉마	뱀.은|아.홉.마
새는 열마	새.는|열.마
우와 동물원에 모두 내렸	우.와|동.물.원.에|모.두|내.렸
기차가 텅 비었다 동물원에 모두 내렸으니	기.차.가|텅|비.었.다|동.물.원.에|모.두|내.렸.으.니
구름	구.름
어느 날 아침 눈을 떠보니 창 밖에 비가 내리고 있었어	어.느|날|아.침|눈.을|떠.보.니|창|밖.에|비.가|내.리.고|있.었.어
응 어 일어나 봐 밖에 비와 나는 동생을 깨워 밖으로 나갔어	응|어|일.어.나|봐|밖.에|비.와|나.는|동.생.을|깨.워|밖.으.로|나.갔.어
한참동안 비오는 하늘을 올려다 봤어	한.참.동.안|비.오.는|하.늘.을|올.려.다|봤.어
오늘은 뭔가 재미있는 일이 생길 것 같았지	오.늘.은|뭔.가|재.미.있.는|일.이|생.길|것|같.았.지
어 이게 뭐	어|이.게|뭐
작은 구름이 나뭇가지에 걸려 있었어	작.은|구.름.이|나.뭇.가.지.에|걸.려|있.었.어
작음 구름은 너무 너무 가벼웠어요 우리는 구름이 안 날아가	작.음|구.름.은|너.무|너.무|가.벼.웠.어.요|우.리.는|구.름.이|안|날.아.가
조심조심 안고서 엄마한테 갖다 주었어	조.심.조.심|안.고.서|엄.마.한.테|갖.다|주.었.어
엄마는 큰 그릇에 구름을 담아 따뜻한 우유와 물을 붓고 이스트와 소	엄.마.는|큰|그.릇.에|구.름.을|담.아|따.뜻.한|우.유.와|물.을|붓.고|이.스.트.와|소
설탕을 넣어 반죽을 하고 작고 동그랗게 빚은 다음 오븐에 넣었지	설.탕.을|넣.어|반.죽.을|하.고|작.고|동.그.랗.게|빚.은|다.음|오.븐.에|넣.었.지
이제 사십오분만 기다리면 맛있게 익을꺼야 그럼 아침으로 먹자구	이.제|사.십.오.분.만|기.다.리.면|맛.있.게|익.을.꺼.야|그.럼|아.침.으.로|먹.자.구
그 때였어요 이런 늦었군 늦었어 비오는 날은 길이 더 막히는	그|때.였.어.요|이.런|늦.었.군|늦.었.어|비.오.는|날.은|길.이|더|막.히.는
아빠는 빵이 익을 때까지 기다릴 수가 없었어	아.빠.는|빵.이|익.을|때.까.지|기.다.릴|수.가|없.었.어
서둘러 가방과 우산을 챙겨들고 허둥지둥 회사로 뛰어 갔지	서.둘.러|가.방.과|우.산.을|챙.겨.들.고|허.둥.지.둥|회.사.로|뛰.어|갔.지
사십오분이 지나고 부엌 가득 고소한 냄새가 피어 올랐어	사.십.오.분.이|지.나.고|부.엌|가.득|고.소.한|냄.새.가|피.어|올.랐.어
엄마는 살며시 오븐을 열었지	엄.마.는|살.며.시|오.븐.을|열.었.지
맛있게 잘익은 구름 빵들이 두둥실 떠올랐어	맛.있.게|잘.익.은|구.름|빵.들.이|두.둥.실|떠.올.랐.어
구름 빵을 먹은 우리도 두둥실 떠올랐어	구.름|빵.을|먹.은|우.리.도|두.둥.실|떠.올.랐.어
어 아빠는 무척 배고프실꺼야 동생이 말했어	어|아.빠.는|무.척|배.고.프.실.꺼.야|동.생.이|말.했.어
우리 아빠한테 빵을 갖다 드리자 나는 빵 하나를 봉지에 담았어	우.리|아.빠.한.테|빵.을|갖.다|드.리.자|나.는|빵|하.나.를|봉.지.에|담.았.어
그러고 나서 창문을 열고 동생과 함께 힘껏 날아올랐지	그.러.고|나.서|창.문.을|열.고|동.생.과|함.께|힘.껏|날.아.올.랐.지
아빠는 어디 계실	아.빠.는|어.디|계.실
응 벌써 회사에 가신걸까 아빠다 동생이 소리쳤어	응|벌.써|회.사.에|가.신.걸.까|아.빠.다|동.생.이|소.리.쳤.어
그래 우리는 자동차가 빽빽하게 늘어선 찻길에서 아빠를 찾았어	그.래|우.리.는|자.동.차.가|빽.빽.하.게|늘.어.선|찻.길.에.서|아.빠.를|찾.았.어
아빠는 콩나물 시루같은 버스를 타고 있었지요 아빠 냐 많이 놀랬	아.빠.는|콩.나.물|시.루.같.은|버.스.를|타.고|있.었.지.요|아.빠|냐|많.이|놀.랬
구름 빵을 먹은 아빠	구.름|빵.을|먹.은|아.빠
양 둥실 떠올라 훨 훨 날아서 금새 회사에 다달았어	양|둥.실|떠.올.라|훨|훨|날.아.서|금.새|회.사.에|다.달.았.어
응 휴 다행이다 우리는 다시 높은 건물 사이를 날아	응|휴|다.행.이.다|우.리.는|다.시|높.은|건.물|사.이.를|날.아
전기줄을 아슬아슬 비켜	전.기.줄.을|아.슬.아.슬|비.켜
우리 집 지붕 위에 살짝 내려 앉았어	우.리|집|지.붕|위.에|살.짝|내.려|앉.았.어
안테	안.테
비가 그치자 하늘에 흰 구름이 하나 둘 떠올랐어	비.가|그.치.자|하.늘.에|흰|구.름.이|하.나|둘|떠.올.랐.어
있잖아 나 배고파 동생이 말했어	있.잖.아|나|배.고.파|동.생.이|말.했.어
하늘을 날아다녀서 그럴꺼야 우리 구름빵 하나씩 더 먹을	하.늘.을|날.아.다.녀.서|그.럴.꺼.야|우.리|구.름.빵|하.나.씩|더|먹.을
동생과 나는 구름빵을 또 먹었어	동.생.과|나.는|구.름.빵.을|또|먹.었.어
구름을 바라보면서 먹는 구름빵은 정말 맛있었습니	구.름.을|바.라.보.면.서|먹.는|구.름.빵.은|정.말|맛.있.었.습.니
지금은 없는 걸요 있다 아빠 오실 때 구름빵 사달라고 할까	지.금.은|없.는|걸.요|있.다|아.빠|오.실|때|구.름.빵|사.달.라.고|할.까
좋아	좋.아
지금은 없어	지.금.은|없.어
자 이번에는 무슨 책을 읽어 볼까	자|이.번.에.는|무.슨|책.을|읽.어|볼.까
